code,name
1,'A' Stance - Posterior Resistance
2,'A' Stance Step-Up - Posterior Resistance
3,Airplane (Dumbbells)
4,Athletic Side-Stepping - Shuffle
5,Balance (Wobble Board)
6,Balance - Front-Back - Support (Wobble Board)
7,Balance - Support (Wobble Board)
8,Bicep Curl - Single Leg Balance
9,Deadlift - Single Leg + Horizontal Abduction (Dumbbell)
10,Deadlift - Single Leg + Opposite Arm Row (Dumbbell)
11,Deadlift - Single Leg + Same Arm Row (Dumbbell)
12,Half Kneeling Balance + Lateral Weight Lowering (Dumbbell)
13,Half Kneeling Balance + Trunk Twist
14,Heel + Toe Raise2
15,Heel Raises - Resisted (Wedge)
16,Heel Raise
17,Hip D1 Pattern - Ascending (Band + Chair)
18,Hip D1 Pattern - Descending (Band + Chair)
19,Hip D1 Pattern - Descending (Band)
20,Hip D2 Pattern - Ascending (Band + Chair)
21,Hip D2 Pattern - Ascending (Band)
22,Hip D2 Pattern - Descending (Band + Chair)
23,Hip D2 Pattern - Descending (Band)
24,Hip D2 Pattern AROM (Chair)
25,Hip Diagonal D1 - Ascending (Band)
26,Hip External Rotation - Heel Slide on Shin
27,Hip Hinge + Posterior Resistance - Tall Kneeling
28,Hip Hinge - Posterior Resistance
29,Lateral Lunge (Bosu)
30,Lateral Lunge - Arms Forward (Bosu)
31,Lateral Step-Up - Supported
32,Marching A - Ankle Dorsiflexion (Band)
33,Seated Knee Extension (Ball)
34,Seated Marching (Ball)
35,Split Squat (Foam)
36,Squat - Posterior Resistance
37,Tilt Board Balance - Front-Back
38,Tilt Board Balance - Lateral
39,Tilt Board Balance - Single Leg - Front-Back
40,Tilt Board Touches - Front-Back
41,Toe Raises (Ball)
42,Toe Raises - Wedge Resisted
43,Triple Flexion Lower Extremity Pattern (Ball)
44,Triple Flexion Lower Extremity Pattern - Band Resisted (Ball, Band)
45,Trunk Rotation - Rear Foot Elevated (Stick)
46,Weight Shift - Ankle Strategy - Backwards
47,Weight Shift - Ankle Strategy
48,Weight Shift - Forward and Backward in Close Standing
